Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Buildpoints,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
tech,,,engineers norse,,,,,,,,,,,,,,,,,,,,,,,,,"• Increases siege weapon range and attack, especially
against walls.
• Siege Weapon: All Actions Damage (All Types) +50%
• Petrobolos: Adds 2.00 to Ranged Attack Maximum Range
• Catapult: Adds 2.00 to Ranged Attack Maximum Range
Fire Siphon: Adds 2.00 to Ranged Attack Maximum Range
• Oyumi: Adds 2.00 to Ranged Attack Maximum Range
• Petrobolos: Adds 2.00 to Wall Breaching Maximum Range
• Catapult: Adds 2.00 to Wall Breaching Maximum Range
Fire Siphon: Adds 2.00 to Wall Breaching Maximum Range
• Oyumi: Adds 2.00 to Wall Breaching Maximum Range
• Siege Weapon: Adds 1.00 to All Actions Damage Bonus
against Wall
"
tech,,,heavy cavalry norse,,,,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Cavalry to Heavy Cavalry, with more hitpoints
and attack.
• Cavalry: Hitpoints +15%
• Cavalry: Melee Attack Damage (All Types) +15%
• Cavalry: Adds 1.00 LOS
"
tech,,,heavy infantry norse,N,"HF, LH",,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Infantry to Heavy Infantry, with more hitpoints
and attack.
• Infantry: Hitpoints +15%
• Infantry: All Actions Damage (All Types) +15%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
"
tech,,,levy greathall soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Great Hall units train faster.
• Godi (Hero): Train time -20%
• Jarl: Train time -20%
• Raiding Cavalry: Train time -20%
• Hersir (Hero): Train time -20%
"
tech,,,levy longhouse soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Longhouse units train faster.
• Hirdman: Train time -20%
• Throwing Axeman: Train time -20%
Berserk: Train time -20%
"
tech,,,medium cavalry norse,,,,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Cavalry to Medium Cavalry, with more hitpoints
and attack.
• Cavalry: Hitpoints +10%
• Cavalry: Melee Attack Damage (All Types) +10%
• Cavalry: Adds 1.00 LOS
"
tech,,,medium infantry norse,N,"HF, LH",,,,,,,,,,,,,,,,,,,,,,,"Medium Infantry
• Upgrades Infantry to Medium Infantry, with more
hitpoints and attack.
Infantry: Hitpoints +10%
Infantry: All Actions Damage (All Types) +10%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
"
tech,,,conscript great hall soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Great Hall units train faster.
• Godi (Hero): Train time -20%
• Jarl: Train time -20%
• Raiding Cavalry: Train time -20%
• Hersir (Hero): Train time -20%
"
tech,,,levy great hall soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Great Hall units train faster.
• Godi (Hero): Train time -20%
• Jarl: Train time -20%
• Raiding Cavalry: Train time -20%
• Hersir (Hero): Train time -20%
"
tech,,,conscript hill fort soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Hill Fort units train faster.
• Huskarl: Train time -20%
"
tech,,,levy hill fort soldiers,,,,,,,,,,,,,,,,,,,,,,,,,"• Hill Fort units train faster.
• Huskarl: Train time -20%
"
